8000000	Parqueadero 1	47.30177	-122.42512
8000001	Parqueadero 2	47.48319	-122.11419
8000002	Parqueadero 3	47.31732	-122.42068
8000003	Parqueadero 4	47.4622	-122.06637
8000004	Parqueadero 5	47.61288	-122.12818
8000005	Parqueadero 6	46.97194	-123.83779
8000006	Parqueadero 7	47.62315	-122.16096
8000007	Parqueadero 8	47.11065	-123.12987
8000008	Parqueadero 9	48.71892	-122.20904
8000009	Parqueadero 10	47.7826	-122.34457
8000010	Parqueadero 11	47.62128	-117.36743
8000011	Parqueadero 12	47.65017	-117.20632
8000012	Parqueadero 13	46.59402	-120.49034
8000013	Parqueadero 14	47.23038	-122.53679
8000014	Parqueadero 15	47.7101	-122.2929
8000015	Parqueadero 16	47.329	-122.35651
8000016	Parqueadero 17	46.63844	-123.05958
8000017	Parqueadero 18	46.62844	-123.05958
8000018	Parqueadero 19	47.67352	-122.39178
8000019	Parqueadero 20	47.67704	-122.35374
8000020	Parqueadero 21	46.54929	-120.65035
8000021	Parqueadero 22	47.76963	-122.36319
8000022	Parqueadero 23	47.64962	-117.34104
8000023	Parqueadero 24	48.77866	-122.52702
8000024	Parqueadero 25	47.81642	-122.27298
8000025	Parqueadero 26	46.97721	-123.83695
8000026	Parqueadero 27	47.70165	-122.19196
8000027	Parqueadero 28	47.57733	-122.40753
8000028	Parqueadero 29	47.18788	-122.29484
8000029	Parqueadero 30	47.62434	-117.38827
8000030	Parqueadero 31	46.38068	-120.32589
8000031	Parqueadero 32	48.3632	-120.12508
8000032	Parqueadero 33	47.67732	-122.35291
8000033	Parqueadero 34	47.70598	-118.9414
8000034	Parqueadero 35	47.27101	-122.24898
8000035	Parqueadero 36	48.11315	-122.78295
8000036	Parqueadero 37	47.21509	-123.1096
8000037	Parqueadero 38	47.55399	-122.31068
8000038	Parqueadero 39	47.6576	-122.32374
8000039	Parqueadero 40	45.91372	-122.44565
8000040	Parqueadero 41	47.69496	-122.34073
8000041	Parqueadero 42	47.5926	-122.6357
8000042	Parqueadero 43	48.50729	-122.62264
8000043	Parqueadero 44	48.50363	-122.61816
8000044	Parqueadero 45	47.4301	-122.29846
8000045	Parqueadero 46	47.26788	-122.45874
8000046	Parqueadero 47	47.51822	-117.56882
8000047	Parqueadero 48	47.49722	-122.13881
8000048	Parqueadero 49	46.59818	-120.62451
8000049	Parqueadero 50	47.46316	-122.13679
8000050	Parqueadero 51	47.26843	-122.46346
8000051	Parqueadero 52	47.94989	-117.45745
8000052	Parqueadero 53	47.63925	-122.11721
8000053	Parqueadero 54	47.68156	-117.28549
8000054	Parqueadero 55	47.19149	-122.47401
8000055	Parqueadero 56	48.19649	-122.12153
8000056	Parqueadero 57	47.71545	-117.37272
8000057	Parqueadero 58	48.16615	-122.11487
8000058	Parqueadero 59	48.1951	-122.12209
8000059	Parqueadero 60	47.67065	-122.25179
8000060	Parqueadero 61	46.2543	-119.88837
8000061	Parqueadero 62	46.21596	-119.99143
8000062	Parqueadero 63	47.56454	-122.31207
8000063	Parqueadero 64	47.29426	-122.62124
8000064	Parqueadero 65	46.34072	-117.05043
8000065	Parqueadero 66	46.34016	-117.05127
8000066	Parqueadero 67	46.06736	-118.29024
8000067	Parqueadero 68	47.6745	-122.29297
8000068	Parqueadero 69	47.72239	-117.46327
8000069	Parqueadero 70	48.75876	-122.47461
8000070	Parqueadero 71	48.54351	-117.89665
8000071	Parqueadero 72	47.28085	-122.16291
8000072	Parqueadero 73	47.30843	-122.23456
8000073	Parqueadero 74	47.30995	-122.22032
8000074	Parqueadero 75	47.63728	-122.10143
8000075	Parqueadero 76	47.67739	-117.43994
8000076	Parqueadero 77	47.6548	-122.34907
8000077	Parqueadero 78	47.68637	-122.34225
8000078	Parqueadero 79	47.59732	-122.31763
8000079	Parqueadero 80	47.63649	-122.52458
8000080	Parqueadero 81	47.18149	-122.44568
8000081	Parqueadero 82	47.7185	-117.4555
8000082	Parqueadero 83	47.67669	-122.3755
8000083	Parqueadero 84	47.79426	-122.32763
8000084	Parqueadero 85	47.13177	-122.29623
8000085	Parqueadero 86	47.66961	-117.42744
8000086	Parqueadero 87	46.6104	-120.50395
8000087	Parqueadero 88	46.15983	-122.90817
8000088	Parqueadero 89	46.59542	-119.15335
8000089	Parqueadero 90	45.78289	-122.54093
8000090	Parqueadero 91	46.98435	-123.58085
8000091	Parqueadero 92	46.18039	-122.92595
8000092	Parqueadero 93	47.58506	-122.31522
8000093	Parqueadero 94	48.72473	-122.69197
8000094	Parqueadero 95	47.75635	-122.08075
8000095	Parqueadero 96	47.32625	-119.54948
8000096	Parqueadero 97	46.63072	-117.27212
8000097	Parqueadero 98	48.06397	-124.30771
8000098	Parqueadero 99	45.84956	-122.57288
8000099	Parqueadero 100	48.65487	-119.64118
8000100	Parqueadero 101	47.44037	-122.83487
8000101	Parqueadero 102	47.43898	-122.83459
8000102	Parqueadero 103	47.23871	-122.48485
8000103	Parqueadero 104	47.62556	-122.21098
8000104	Parqueadero 105	47.75149	-122.15124
8000105	Parqueadero 106	47.58473	-122.14942
8000106	Parqueadero 107	47.60475	-122.19747
8000107	Parqueadero 108	47.61204	-122.13901
8000108	Parqueadero 109	48.77456	-122.45256
8000109	Parqueadero 110	48.71895	-122.48133
8000110	Parqueadero 111	48.757	-122.47401
8000111	Parqueadero 112	48.76577	-122.51156
8000112	Parqueadero 113	47.68878	-117.37494
8000113	Parqueadero 114	46.91071	-118.09968
8000114	Parqueadero 115	47.66209	-122.17354
8000115	Parqueadero 116	45.66039	-122.6776
8000116	Parqueadero 117	47.66174	-122.13874
8000117	Parqueadero 118	47.43482	-122.18803
8000118	Parqueadero 119	46.06153	-118.29913
8000119	Parqueadero 120	47.63865	-122.32042
8000120	Parqueadero 121	47.66565	-122.19123
8000121	Parqueadero 122	47.53676	-122.63569
8000122	Parqueadero 123	47.05399	-122.37818
8000123	Parqueadero 124	47.05899	-122.37818
8000124	Parqueadero 125	46.19569	-119.12696
8000125	Parqueadero 126	47.49572	-117.57743
8000126	Parqueadero 127	47.5001	-122.34624
8000127	Parqueadero 128	47.84719	-122.30475
8000128	Parqueadero 129	45.99874	-120.29283
8000129	Parqueadero 130	45.93152	-120.30283
8000130	Parqueadero 131	48.40215	-122.24123
8000131	Parqueadero 132	48.77472	-122.50619
8000132	Parqueadero 133	47.18788	-122.4504
8000133	Parqueadero 134	48.221	-118.14221
8000134	Parqueadero 135	47.66426	-122.34846
8000135	Parqueadero 136	47.30987	-122.00486
8000136	Parqueadero 137	46.99426	-122.96653
8000137	Parqueadero 138	48.99261	-122.74112
8000138	Parqueadero 139	48.99337	-122.73706
8000139	Parqueadero 140	47.64288	-122.40013
8000140	Parqueadero 141	48.9935	-122.7383
8000141	Parqueadero 142	47.64044	-117.64633
8000142	Parqueadero 143	47.66517	-117.22548
8000143	Parqueadero 144	47.68979	-122.33561
8000144	Parqueadero 145	47.66676	-122.3179
8000145	Parqueadero 146	46.05458	-118.35663
8000146	Parqueadero 147	46.5501	-123.13291
8000147	Parqueadero 148	48.64518	-117.72553
8000148	Parqueadero 149	47.18455	-122.17817
8000149	Parqueadero 150	47.20121	-123.09571
8000150	Parqueadero 151	47.13565	-122.88458
8000151	Parqueadero 152	47.76027	-122.21912
8000152	Parqueadero 153	47.63961	-117.64772
8000153	Parqueadero 154	47.43901	-122.28235
8000154	Parqueadero 155	47.63762	-117.25199
8000155	Parqueadero 156	47.19732	-122.41457
8000156	Parqueadero 157	46.02347	-118.34635
8000157	Parqueadero 158	47.79982	-122.66182
8000158	Parqueadero 159	47.59843	-122.70848
8000159	Parqueadero 160	47.57337	-122.63893
8000160	Parqueadero 161	47.57315	-122.63931
8000161	Parqueadero 162	47.76322	-117.41689
8000162	Parqueadero 163	48.09431	-119.78506
8000163	Parqueadero 164	48.09431	-119.78478
8000164	Parqueadero 165	48.09431	-119.80117
8000165	Parqueadero 166	48.09292	-119.78506
8000166	Parqueadero 167	48.09542	-119.78756
8000167	Parqueadero 168	47.74207	-122.29813
